uid treatment rep update steal_count donate_count
AMOUNT15_1 AMOUNT15 1 40300 337409 0
AMOUNT15_1 AMOUNT15 1 40400 336476 0
AMOUNT15_1 AMOUNT15 1 40500 338839 0
AMOUNT15_1 AMOUNT15 1 40600 336058 0
AMOUNT15_1 AMOUNT15 1 40700 333082 0
AMOUNT15_1 AMOUNT15 1 40800 335243 0
AMOUNT15_1 AMOUNT15 1 40900 337398 0
AMOUNT15_1 AMOUNT15 1 41000 341564 0
AMOUNT15_1 AMOUNT15 1 41100 351090 0
AMOUNT15_1 AMOUNT15 1 41200 348953 0
AMOUNT15_1 AMOUNT15 1 41300 347671 0
AMOUNT15_1 AMOUNT15 1 41400 342338 0
AMOUNT15_1 AMOUNT15 1 41500 339145 0
AMOUNT15_1 AMOUNT15 1 41600 337604 0
AMOUNT15_1 AMOUNT15 1 41700 336896 0
AMOUNT15_1 AMOUNT15 1 41800 338613 0
AMOUNT15_1 AMOUNT15 1 41900 339667 0
AMOUNT15_1 AMOUNT15 1 42000 341165 0
AMOUNT15_1 AMOUNT15 1 42100 338660 0
AMOUNT15_1 AMOUNT15 1 42200 338791 0
AMOUNT15_1 AMOUNT15 1 42300 334456 0
AMOUNT15_1 AMOUNT15 1 42400 336900 0
AMOUNT15_1 AMOUNT15 1 42500 334118 0
AMOUNT15_1 AMOUNT15 1 42600 335577 0
AMOUNT15_1 AMOUNT15 1 42700 336850 0
AMOUNT15_1 AMOUNT15 1 42800 344357 0
AMOUNT15_1 AMOUNT15 1 42900 354791 0
AMOUNT15_1 AMOUNT15 1 43000 364339 0
AMOUNT15_1 AMOUNT15 1 43100 365682 0
AMOUNT15_1 AMOUNT15 1 43200 362013 0
AMOUNT15_1 AMOUNT15 1 43300 359692 0
AMOUNT15_1 AMOUNT15 1 43400 356451 0
AMOUNT15_1 AMOUNT15 1 43500 357263 0
AMOUNT15_1 AMOUNT15 1 43600 354188 0
AMOUNT15_1 AMOUNT15 1 43700 356735 0
AMOUNT15_1 AMOUNT15 1 43800 351734 0
AMOUNT15_1 AMOUNT15 1 43900 344541 0
AMOUNT15_1 AMOUNT15 1 44000 343157 0
AMOUNT15_1 AMOUNT15 1 44100 342186 0
AMOUNT15_1 AMOUNT15 1 44200 343501 0
AMOUNT15_1 AMOUNT15 1 44300 344330 0
AMOUNT15_1 AMOUNT15 1 44400 338814 0
AMOUNT15_1 AMOUNT15 1 44500 337783 0
AMOUNT15_1 AMOUNT15 1 44600 338079 0
AMOUNT15_1 AMOUNT15 1 44700 338441 0
AMOUNT15_1 AMOUNT15 1 44800 340831 0
AMOUNT15_1 AMOUNT15 1 44900 341235 0
AMOUNT15_1 AMOUNT15 1 45000 345563 0
AMOUNT15_1 AMOUNT15 1 45100 346481 0
AMOUNT15_1 AMOUNT15 1 45200 346829 0
AMOUNT15_1 AMOUNT15 1 45300 347068 0
AMOUNT15_1 AMOUNT15 1 45400 345278 0
AMOUNT15_1 AMOUNT15 1 45500 345480 0
AMOUNT15_1 AMOUNT15 1 45600 344556 0
AMOUNT15_1 AMOUNT15 1 45700 340562 0
AMOUNT15_1 AMOUNT15 1 45800 339393 0
AMOUNT15_1 AMOUNT15 1 45900 340829 0
AMOUNT15_1 AMOUNT15 1 46000 341338 0
AMOUNT15_1 AMOUNT15 1 46100 339839 0
AMOUNT15_1 AMOUNT15 1 46200 336436 0
AMOUNT15_1 AMOUNT15 1 46300 338322 0
AMOUNT15_1 AMOUNT15 1 46400 344194 0
AMOUNT15_1 AMOUNT15 1 46500 347468 0
AMOUNT15_1 AMOUNT15 1 46600 343976 0
AMOUNT15_1 AMOUNT15 1 46700 347116 0
AMOUNT15_1 AMOUNT15 1 46800 347106 0
AMOUNT15_1 AMOUNT15 1 46900 342502 0
AMOUNT15_1 AMOUNT15 1 47000 338547 0
AMOUNT15_1 AMOUNT15 1 47100 339630 0
AMOUNT15_1 AMOUNT15 1 47200 338475 0
AMOUNT15_1 AMOUNT15 1 47300 340716 0
AMOUNT15_1 AMOUNT15 1 47400 339568 0
AMOUNT15_1 AMOUNT15 1 47500 337846 0
AMOUNT15_1 AMOUNT15 1 47600 344148 0
AMOUNT15_1 AMOUNT15 1 47700 343938 0
AMOUNT15_1 AMOUNT15 1 47800 341344 0
AMOUNT15_1 AMOUNT15 1 47900 340380 0
AMOUNT15_1 AMOUNT15 1 48000 341620 0
AMOUNT15_1 AMOUNT15 1 48100 337089 0
AMOUNT15_1 AMOUNT15 1 48200 337928 0
AMOUNT15_1 AMOUNT15 1 48300 335081 0
AMOUNT15_1 AMOUNT15 1 48400 332785 0
AMOUNT15_1 AMOUNT15 1 48500 336507 0
AMOUNT15_1 AMOUNT15 1 48600 337783 0
AMOUNT15_1 AMOUNT15 1 48700 336013 0
AMOUNT15_1 AMOUNT15 1 48800 338206 0
AMOUNT15_1 AMOUNT15 1 48900 340704 0
AMOUNT15_1 AMOUNT15 1 49000 341372 0
AMOUNT15_1 AMOUNT15 1 49100 344300 0
AMOUNT15_1 AMOUNT15 1 49200 346296 0
AMOUNT15_1 AMOUNT15 1 49300 348795 0
AMOUNT15_1 AMOUNT15 1 49400 350755 0
AMOUNT15_1 AMOUNT15 1 49500 347638 0
